,Unnamed: 0,Loyalty#,First Name,Last Name,Customer Name,Province or State,City,Latitude,Longitude,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,enroll_year,enroll_month,enroll_month_year,enroll_day,cancel_year,cancel_month,cancel_month_year,cancel_day,DaysSinceEnrollment,DaysSinceCancellation,EnrollmentDurationInDays,IsCancelled
0,0,480934,Cecilia,Householder,Cecilia Householder,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Urban,70146.0,Married,Star,3839.14,Standard,2019,2,2019-02,15,,,NaT,,1049,,1049.0,False
1,1,549612,Dayle,Menez,Dayle Menez,Alberta,Edmonton,53.544388,-113.49093,male,College,Rural,0.0,Divorced,Star,3839.61,Standard,2019,3,2019-03,9,,,NaT,,1027,,1027.0,False
2,2,429460,Necole,Hannon,Necole Hannon,British Columbia,Vancouver,49.28273,-123.12074,male,College,Urban,0.0,Single,Star,3839.75,Standard,2017,7,2017-07,14,2021.0,1.0,2021-01,8.0,1630,356.0,1274.0,True
3,3,608370,Queen,Hagee,Queen Hagee,Ontario,Toronto,43.653225,-79.383186,male,College,Suburban,0.0,Single,Star,3839.75,Standard,2016,2,2016-02,17,,,NaT,,2143,,2143.0,False
4,4,530508,Claire,Latting,Claire Latting,Quebec,Hull,45.42873,-75.713364,male,Bachelor,Suburban,97832.0,Married,Star,3842.79,2021 Promotion,2017,10,2017-10,25,,,NaT,,1527,,1527.0,False
5,5,193662,Leatrice,Hanlin,Leatrice Hanlin,Yukon,Whitehorse,60.721188,-135.05684,male,Bachelor,Rural,26262.0,Married,Star,3844.57,Standard,2015,5,2015-05,7,,,NaT,,2429,,2429.0,False
6,6,927943,Hue,Sellner,Hue Sellner,Ontario,Toronto,43.653225,-79.383186,female,College,Urban,0.0,Single,Star,3857.95,Standard,2017,6,2017-06,9,,,NaT,,1665,,1665.0,False
7,7,188893,Nakia,Cash,Nakia Cash,Ontario,Trenton,44.101128,-77.576309,male,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,2019,12,2019-12,8,,,NaT,,753,,753.0,False
8,8,852392,Arlene,Conterras,Arlene Conterras,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,2018,5,2018-05,30,,,NaT,,1310,,1310.0,False
9,9,866307,Dustin,Recine,Dustin Recine,Ontario,Toronto,43.653225,-79.383186,male,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,2019,10,2019-10,14,,,NaT,,808,,808.0,False
10,10,932823,Jeremy,Dickason,Jeremy Dickason,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Suburban,47199.0,Married,Star,3863.31,Standard,2018,3,2018-03,17,,,NaT,,1384,,1384.0,False
11,11,144514,Belkis,Siurek,Belkis Siurek,British Columbia,Dawson Creek,55.759628,-120.23766,female,Bachelor,Urban,24204.0,Married,Star,3864.78,Standard,2019,6,2019-06,11,,,NaT,,933,,933.0,False
12,12,611765,Marjorie,Pangelina,Marjorie Pangelina,Quebec,Quebec City,46.813877,-71.207977,male,Bachelor,Suburban,79628.0,Single,Star,3867.97,Standard,2021,1,2021-01,28,,,NaT,,336,,336.0,False
13,13,988178,Andre,Cotugno,Andre Cotugno,Quebec,Montreal,45.50169,-73.567253,male,College,Rural,0.0,Single,Star,3871.07,Standard,2016,10,2016-10,13,,,NaT,,1904,,1904.0,False
